year,CO2 (ppmv),Temperature,Mean CH4,unc
-688786,236.4535724768809,,,
-688757,,,561.0,
-688590,,-3.05,,
-688524,235.8000553317824,,,
-688330,,,549.0,
-688243,,-3.05,,
-688033,,,555.0,
-688001,232.26747586461005,,,
-687886,,-3.14,,
-687743,232.0747771551575,,,
-687609,,,540.0,
-687536,,-3.35,,
-687346,,,557.0,
-687207,230.66878933516546,,,
-687186,,-3.7,,
-686898,,,542.0,
-686859,227.6358560751815,,,
-686836,,-3.5,,
-686635,,,538.0,
-686485,,-3.36,,
-686350,227.65046207304692,,,
-686204,,,527.0,
-686120,,-3.44,,
-686050,226.72892608676472,,,
-685936,,,529.0,
-685758,,-3.5,,
-685495,222.96501296914875,,,
-685474,,,538.0,
-685392,,-3.73,,
-685204,222.7044405108711,,,
-685015,,-3.97,,
-684737,,,523.0,
-684639,,-4.07,,
-684631,222.61792578852743,,,
-684441,,,521.0,
-684319,220.6316642042182,,,
-684261,,-4.41,,
-683975,,,514.0,
-683873,,-4.61,,
-683749,,,508.0,
-683729,220.62261407272987,,,
-683481,,-4.62,,
-683344,221.82035466276145,,,
-683075,,-4.68,,
-682912,,,520.0,
-682808,224.3560776723839,,,
-682660,,-4.83,,
-682473,225.64160209672895,,,
-682436,,,504.0,
-682248,,-5.23,,
-682105,,,499.0,
-681878,222.6967127552533,,,
-681842,,-5.46,,
-681617,,,498.0,
-681507,220.23521867492758,,,
-681421,,-5.34,,
-681310,,,494.0,
-680962,,-5.2,,
-680790,219.1411841639893,,,
-680777,,,543.0,
-680703,,,523.0,
-680483,,-5.58,,
-680439,,,505.0,
-680393,221.30626385386472,,,
-679985,,-6.02,,
-679822,,,486.0,
-679719,227.89516025735253,,,
-679499,,-6.95,,
-679467,,,482.0,
-679275,225.80855816583323,,,
-679037,,-7.34,,
-678896,,,490.0,
-678677,233.1080061479115,,,
-678606,,,466.0,
-678592,,-7.02,,
-678362,233.61111358821643,,,
-678172,,-6.46,,
-678161,,,446.0,
-677786,,,460.0,
-677785,232.70102424711226,,,
-677771,,-5.95,,
-677505,229.16045804591084,,,
-677319,,-5.15,,
-677246,,,544.0,
-677149,,,500.0,
-676882,,,494.0,
-676830,,-4.67,,
-676791,220.08623711545596,,,
-676378,218.20973466460342,,,
-676317,,-5.65,,
-676236,,,495.0,
-675914,,,491.0,
-675838,,-6.9,,
-675650,216.59070226826563,,,
-675380,,-7.34,,
-675342,,,464.0,
-675202,219.96238463739664,,,
-675023,,,466.0,
-674921,,-6.71,,
-674598,,,455.0,
-674580,222.57485445876674,,,
-674414,,-5.89,,
-674206,,,536.0,
-673899,,-5.94,,
-673590,,,551.0,
-673456,216.1224817958984,,,
-673343,,-6.54,,
-673159,,,554.0,
-673078,211.69145610328425,,,
-672772,,-7.05,,
-672458,,,564.0,
-672279,204.66974564632602,,,
-672182,,-7.51,,
-672164,,,562.0,
-671746,201.1220985980582,,,
-671570,,-7.68,,
-671488,,,512.0,
-671113,,,529.0,
-670958,,-7.99,,
-670811,197.12915219406037,,,
-670382,,,471.0,
-670340,,-8.25,,
-670200,194.789560383579,,,
-669974,,,462.0,
-669756,,-8.16,,
-669507,196.8275423165405,,,
-669276,,,439.0,
-669152,,-7.62,,
-669120,194.87837297832084,,,
-669050,,,483.0,
-668965,,,489.0,
-668559,,-7.28,,
-668346,191.5141318512642,,,
-667902,,-7.24,,
-667869,187.6555369926176,,,
-667679,,,396.0,
-667179,,-8.31,,
-666965,180.6705433303129,,,
-666842,,,390.0,
-666465,177.7146610306198,,,
-666398,,-8.89,,
-666376,,,385.0,
-665640,,,365.0,
-665596,,-8.95,,
-665459,173.71362014216885,,,
-665030,,,374.0,
-664803,174.76867941399888,,,
-664772,,-9.03,,
-664268,,,376.0,
-663937,,-9.05,,
-663886,180.53768178380184,,,
-663371,180.16659707392193,,,
-663125,,-8.94,,
-662458,187.76703230989094,,,
-662370,192.55321359717547,,,
-662339,,-8.42,,
-662084,,,414.0,
-661987,191.02249326390395,,,
-661563,,-7.82,,
-660927,190.86103041769672,,,
-660846,193.90821704355406,,,
-660703,,-8.0,,
-660574,,,384.0,
-660332,189.69058418048212,,,
-659793,,-8.3,,
-659265,191.59170346951032,,,
-659168,193.9700304568731,,,
-659084,,,402.0,
-658915,,-8.64,,
-658513,188.43427447380085,,,
-658020,,-8.02,,
-657461,185.6837857761792,,,
-657454,,,359.0,
-657343,187.3800806732598,,,
-657143,,-8.36,,
-656814,184.098136363561,,,
-656305,,-7.52,,
-655795,,,344.0,
-655771,190.8769405532136,,,
-655704,189.23340881737832,,,
-655470,,-7.38,,
-655231,192.9341212467433,,,
-654857,,,398.0,
-654600,,-6.71,,
-654182,200.35242454933484,,,
-654141,,,414.0,
-653661,,-6.87,,
-653574,199.99595342018023,,,
-652657,,-7.58,,
-652531,,,397.0,
-652488,194.81602929906575,,,
-651780,192.8691774329536,,,
-651638,,-7.92,,
-650758,186.7937683040444,,,
-650705,,,409.0,
-650639,,-7.72,,
-650154,187.2748940558699,,,
-649603,,-7.29,,
-648997,193.44315462070247,,,
-648727,,,414.0,
-648606,,-7.47,,
-648398,189.2501799432969,,,
-647572,,-7.07,,
-647241,196.17149410495196,,,
-646942,,,426.0,
-646662,193.47659870780961,,,
-646481,,-7.46,,
-645378,,-7.82,,
-645304,191.8480609628653,,,
-644706,,,429.0,
-644426,189.88548096825593,,,
-644272,,-7.71,,
-643200,195.82042744328479,,,
-643169,,-7.68,,
-642525,,,429.0,
-642350,195.3061298127235,,,
-641957,,-7.73,,
-641234,,,386.0,
-640906,191.5605717991007,,,
-640639,,-8.21,,
-640489,,,369.0,
-640124,191.38425695346518,,,
-639312,,-8.86,,
-638422,190.1777336005101,,,
-637998,,-8.84,,
-637649,,,373.0,
-637468,188.8477364074226,,,
-636714,,-8.68,,
-635764,195.33150117951013,,,
-635360,,-8.39,,
-634927,,,373.0,
-634571,194.00258992033588,,,
-634006,,-8.92,,
-633059,194.85936588137295,,,
-632931,195.94989153226658,,,
-632726,,-8.9,,
-632347,,,361.0,
-632127,193.09789993536265,,,
-631362,,-8.24,,
-630406,196.49917279673912,,,
-630014,,-8.8,,
-629795,,,376.0,
-629576,200.45706932834122,,,
-628695,,-8.72,,
-627916,200.77734554085592,,,
-627819,205.26582182975858,,,
-627536,,-8.37,,
-627189,199.52416462021898,,,
-627140,,,356.0,
-626540,,-7.17,,
-625880,205.76310728563763,,,
-625647,,-5.54,,
-625076,,,386.0,
-625019,215.70968264504967,,,
-624850,,-4.42,,
-624123,,-3.19,,
-624097,228.51222535135372,,,
-624070,,,474.0,
-623521,,,478.0,
-623447,235.02330647237795,,,
-623366,,-2.2,,
-622646,,,573.0,
-622612,,-2.69,,
-622546,237.92850701362374,,,
-622067,,,572.0,
-621846,,-2.63,,
-621230,,,618.0,
-621104,239.19230883467588,,,
-621104,,-2.84,,
-621000,243.88545246756433,,,
-620626,,,661.0,
-620392,,-2.52,,
-619746,,,627.0,
-619701,243.53068358638558,,,
-619694,,-2.59,,
-619097,,,609.0,
-619000,,-1.95,,
-618333,245.88658787248076,,,
-618328,,-1.96,,
-617730,,,602.0,
-617626,,-2.38,,
-617003,248.28893339724928,,,
-616954,,-2.29,,
-616396,,,604.0,
-616255,,-1.79,,
-615659,252.63944486217684,,,
-615583,,-2.28,,
-615003,,,611.0,
-614945,,-1.94,,
-614406,252.729800513971,,,
-614349,252.8982584181087,,,
-614323,,-1.46,,
-613722,,-1.28,,
-613630,,,617.0,
-613190,252.74797477389262,,,
-613110,,-0.97,,
-612516,,-1.3,,
-612403,,,620.0,
-611992,256.193578648728,,,
-611928,,-1.04,,
-611360,,-1.35,,
-611220,,,601.0,
-610811,258.13797445364014,,,
-610767,,-1.04,,
-610180,,-1.46,,
-610005,,,620.0,
-609650,259.6847091794925,,,
-609601,257.8151013837554,,,
-609591,,-1.43,,
-609035,,-1.47,,
-608839,,,593.0,
-608479,257.74486774223317,,,
-608475,,-1.26,,
-607904,,-1.09,,
-607637,,,583.0,
-607319,,-1.37,,
-607297,259.22379791893974,,,
-606941,,,577.0,
-606724,,-1.74,,
-606475,,,578.0,
-606129,,-2.01,,
-606029,254.57832546938147,,,
-605524,,-2.35,,
-605205,,,538.0,
-604869,,-2.94,,
-604675,248.4801850050678,,,
