,Unnamed: 0,year,CO2 (ppmv)
253,189,1609,271.1090304670288
254,190,1603,275.066577843599
255,191,1590,279.3568610690018
256,192,1588,281.10892823134105
257,193,1573,282.5698274885973
258,194,1559,281.82904146165555
259,195,1549,283.5296825674026
260,196,1529,283.94789036843633
261,197,1501,283.1247803916497
262,198,1469,280.3125047226672
263,199,1449,282.22658040584827
264,200,1428,279.7256958832981
265,201,1410,279.6965499485699
266,202,1390,280.9115788303861
267,203,1348,278.3621212274177
268,204,1330,284.0676432722511
269,205,1307,281.5784089788515
270,206,1278,278.4312489162189
271,207,1259,282.199286054067
272,208,1251,282.41311047504325
273,209,1210,283.68828915610504
274,210,1199,284.54004420226613
275,211,1165,283.9659747066713
276,212,1146,284.510584449478
277,213,1115,282.8416314024614
278,214,1099,283.0944582572788
279,215,1070,282.8444160166049
280,216,1049,280.9667443357615
281,217,1040,280.9161701585891
282,218,1019,280.06452973881244
283,219,1017,279.7987034131486
284,220,982,278.7402401551619
285,221,957,277.4071684030988
286,222,914,280.10552589040225
287,223,875,279.42044060983585
288,224,822,278.62300321449914
289,225,793,279.72469920818
290,226,762,279.29371083930937
291,227,730,279.9902637416671
292,228,701,277.098940914164
293,229,669,278.45496800258206
294,230,636,279.58805021854124
295,231,614,277.86971612986054
296,232,582,276.19603745957005
297,233,557,278.4608975547629
298,234,551,276.5590465243607
299,235,517,276.789519068584
300,236,488,277.1056915049757
301,237,436,279.9999146746923
302,238,406,279.12520908544417
303,239,384,277.24691789826335
304,240,357,277.79537780888165
305,241,317,281.692138914424
306,242,295,280.9089598541969
307,243,274,280.2444922059889
308,244,266,278.31439989271746
309,245,240,280.2490871903012
310,246,174,277.55589209790946
311,247,153,278.0719954240161
312,248,136,278.1
313,249,104,277.5
314,250,56,277.4
315,251,30,277.9
316,252,1,276.7
317,253,-49,278.0
318,254,-143,276.9
319,255,-284,276.7
320,256,-315,276.7
321,257,-464,277.6
322,258,-576,277.9
323,259,-678,273.9
324,260,-758,278.9
325,261,-851,275.3
326,262,-954,274.7
327,263,-998,276.3
328,264,-1106,274.6
329,265,-1305,276.3
330,266,-1333,273.1
331,267,-1481,274.0
332,268,-1578,275.0
333,269,-1694,273.4
334,270,-1743,273.0
335,271,-1856,271.5
336,272,-1906,275.4
337,273,-2018,274.9
338,274,-2158,271.7
339,275,-2255,271.6
340,276,-2325,272.8
341,277,-2392,271.5
342,278,-2544,271.1
343,279,-2642,269.1
344,280,-2697,269.8
345,281,-2823,271.5
346,282,-2971,270.7
347,283,-3031,269.3
348,284,-3136,268.6
349,285,-3268,269.8
350,286,-3361,267.6
351,287,-3407,265.3
352,288,-3583,265.2
353,289,-3631,267.6
354,290,-3807,265.9
355,291,-3902,265.5
356,292,-3984,260.7
357,293,-4049,266.7
358,294,-4139,265.5
359,295,-4351,263.2
360,296,-4387,262.7
361,297,-4451,261.2
362,298,-4622,261.1
363,299,-4732,259.4
364,300,-4819,262.1
365,301,-4930,262.9
366,302,-5020,258.1
367,303,-5088,257.6
368,304,-5238,262.3
369,305,-5324,263.0
370,306,-5455,260.7
371,307,-5547,258.4
372,308,-5711,260.1
373,309,-5769,260.4
374,310,-5910,259.7
375,311,-5976,259.2
376,312,-6025,260.8
377,313,-6166,259.6
378,314,-6244,259.3
379,315,-6401,258.3
380,316,-6509,261.3
381,317,-6596,260.7
382,318,-6760,261.8
383,319,-6831,259.0
384,320,-6961,260.9
385,321,-7042,260.4
386,322,-7110,259.3
387,323,-7193,262.0
388,324,-7345,263.7
389,325,-7411,263.8
390,326,-7486,265.2
391,327,-7568,260.6
392,328,-7574,260.9
393,329,-7605,263.0
394,330,-7623,263.8
395,331,-7951,264.4
396,332,-8042,264.2
397,333,-8184,264.0
398,334,-8242,263.4
399,335,-8349,265.7
400,336,-8416,264.9
401,337,-8555,267.5
402,338,-8730,266.9
403,339,-8851,266.0
404,340,-8885,265.1
405,341,-9004,267.6
406,342,-9139,264.8
407,343,-9211,264.8
408,344,-9235,265.0
409,345,-9250,265.3
410,346,-9306,264.4
411,347,-9366,264.1
412,348,-9389,264.8062514925239
413,349,-9433,264.8396344162771
414,350,-9449,268.1638827775123
415,351,-9467,264.4831386910426
416,352,-9485,270.14345909208504
417,353,-9503,268.86948241809176
418,354,-9522,269.09658248435426
419,355,-9540,267.1659882944808
420,356,-9557,267.66344435702626
421,357,-9573,269.5087267559184
422,358,-9593,266.8975316078414
423,359,-9609,262.7402713424808
424,360,-9626,267.0926460402798
425,361,-9642,260.7019637596007
426,362,-9661,261.3035570908851
427,363,-9678,266.2202091929294
428,364,-9697,257.13429330946656
429,365,-9714,247.5528586529488
430,366,-9732,254.6155973344712
431,367,-9751,253.99089690085395
432,368,-9769,256.0430608603061
433,369,-9790,255.89086904448925
434,370,-9809,258.7419682040664
435,371,-9830,258.24947010276907
436,372,-9852,258.53058047537485
437,373,-9870,257.16871076552565
438,374,-9893,254.31017470730887
439,375,-9913,253.6295799831633
440,376,-9933,251.56174454316204
441,377,-9954,255.8965753132392
442,378,-9976,258.57498699245264
443,379,-9998,248.91570205793047
444,380,-10019,253.9931437879996
445,381,-10040,255.3912977602452
446,382,-10065,247.85064164274337
447,383,-10087,248.4071332197136
448,384,-10108,253.0980369479649
449,385,-10129,251.03138662276533
450,386,-10155,255.6570401748525
451,387,-10174,253.01913649818056
452,388,-10196,251.13879991205624
453,389,-10218,251.42428040746907
454,390,-10240,250.96816256782247
455,391,-10261,249.6533400802813
456,392,-10282,249.2318205544177
457,393,-10306,248.95174624217293
458,394,-10330,249.37721064234103
459,395,-10351,248.9240190698803
460,396,-10371,250.7315436936512
461,397,-10393,246.9665079337188
462,398,-10415,244.30941964788175
463,399,-10438,243.00399847303908
464,400,-10459,246.4034368607132
465,401,-10481,247.67023851530325
466,402,-10504,245.828192028346
467,403,-10525,246.1791753476704
468,404,-10545,244.42282246806465
469,405,-10571,246.7361603977909
470,406,-10593,249.9226267174943
471,407,-10614,244.27496932125192
472,408,-10636,247.01866418752644
473,409,-10657,248.09151906637945
474,410,-10679,246.94327763185444
475,411,-10703,243.94829999483665
476,412,-10723,242.52904430354567
477,413,-10747,244.24252191664183
478,414,-10769,241.5919394471499
479,415,-10789,247.29878007926465
480,416,-10812,240.0194403921716
481,417,-10835,241.4960201489729
482,418,-10859,242.23335017876877
483,419,-10880,242.14661205332536
484,420,-10902,239.34501708789696
485,421,-10923,241.2383063619222
486,422,-10943,239.43542944264075
487,423,-10967,238.7942418996904
488,424,-10989,238.17670710529904
489,425,-11009,240.7072616624785
490,426,-11030,237.14801820813656
491,427,-11051,239.41877622767905
492,428,-11071,234.67711437690164
493,429,-11093,238.86480110696388
494,430,-11116,237.9090254487845
495,431,-11138,241.5552999030114
496,432,-11178,234.8172845805215
497,433,-11222,236.9100647065016
498,434,-11266,239.4098936541896
499,435,-11316,240.4197733780046
500,436,-11354,236.8602209016533
501,437,-11468,237.82629259075324
502,438,-11536,240.25427358439865
503,439,-11581,235.8255291423037
504,440,-11650,243.85979844717
505,441,-11695,238.54747522687632
506,442,-11762,241.59139134507328
507,443,-11808,241.11490412197253
508,444,-11877,239.08435072354877
509,445,-11921,237.9515851667121
510,446,-11990,240.5703386445421
511,447,-12051,235.91958262522573
512,448,-12072,237.8687866200197
513,449,-12110,241.26916500368532
514,450,-12134,232.88000615516705
515,451,-12170,236.39805979670948
516,452,-12206,239.23818680138612
517,453,-12229,239.36064776017065
518,454,-12255,238.3613364190683
519,455,-12287,236.59503531115416
520,456,-12323,240.21229536304708
521,457,-12348,239.03677680876376
522,458,-12358,235.8013722168602
523,459,-12393,242.07891889663432
524,460,-12404,238.39005888170095
525,461,-12424,240.3252352260465
526,462,-12460,242.5463915992586
527,463,-12472,242.6046029893104
528,464,-12493,240.9489026098227
529,465,-12513,238.61345734214723
530,466,-12547,242.05538663336657
531,467,-12570,241.1441164192452
532,468,-12581,243.17377294839463
533,469,-12591,235.8323421305916
534,470,-12602,241.729807649943
535,471,-12613,239.85999766133676
536,472,-12625,239.76503812675872
537,473,-12636,237.9659544143376
538,474,-12645,235.30951417343596
539,475,-12656,237.58632963935628
540,476,-12669,237.970723841254
541,477,-12679,240.102021264826
542,478,-12695,238.11592408247537
543,479,-12702,234.62208303328032
544,480,-12714,233.41678590018037
545,481,-12725,234.33541847308945
546,482,-12736,237.4924390193572
547,483,-12746,228.9069484734525
548,484,-12756,228.1794674192821
549,485,-12768,230.5296191365043
550,486,-12780,234.53668908061692
551,487,-12793,231.47501430697423
552,488,-12808,227.9025821178081
553,489,-12813,224.64412988292017
554,490,-12826,227.3927296719852
555,491,-12837,227.78536212593403
556,492,-12849,228.50250206425628
557,493,-12860,227.5760816830967
558,494,-12872,226.50690563613685
559,495,-12884,228.4041873231957
560,496,-12894,227.87363187172843
561,497,-12907,233.1674385645637
562,498,-12919,232.22123314488175
563,499,-12930,227.85150672131329
564,500,-12942,230.6301423785333
565,501,-12954,228.71528957073207
566,502,-12965,228.3587950722309
567,503,-12979,228.46979297537328
568,504,-13003,228.890295544307
569,505,-13026,229.78672581367329
570,506,-13037,227.65098593922204
571,507,-13061,228.3650655244248
572,508,-13084,225.38083520649624
573,509,-13122,228.9948074515769
574,510,-13145,234.47446894840783
575,511,-13183,229.6716065699829
576,512,-13206,228.8057322422929
577,513,-13231,227.84358475209112
578,514,-13268,230.18339813242304
579,515,-13293,228.26585961041695
580,516,-13330,225.77162913978188
581,517,-13370,227.64306095288396
582,518,-13395,228.9165200283857
583,519,-13432,225.38795165189697
584,520,-13460,224.74311624898783
585,521,-13512,223.2710402890986
586,522,-13596,223.5305343345643
587,523,-13699,222.75834505097237
588,524,-13754,222.1576434042996
589,525,-13817,224.8571801594681
590,526,-13894,222.36468715588023
591,527,-13970,223.5107392974745
592,528,-13986,223.7681909549173
593,529,-14045,223.7224506956352
594,530,-14048,224.4079901815647
595,531,-14064,222.39327867419095
596,532,-14083,224.4802221411913
597,533,-14133,224.242360124708
598,534,-14164,222.4115117516632
599,535,-14201,224.8625784974834
600,536,-14216,226.1908800011438
601,537,-14237,221.48984625503215
602,538,-14258,227.3244742360862
603,539,-14272,223.2363153157684
604,540,-14290,220.48517092637948
605,541,-14310,218.56382460975144
606,542,-14328,214.2212288682848
607,543,-14346,212.84367513227136
608,544,-14367,214.5978424508933
609,545,-14387,212.4297076897044
610,546,-14404,214.8309479320241
611,547,-14424,211.2133503062316
612,548,-14441,209.50810411665643
613,549,-14460,212.94888538923
614,550,-14481,211.7934498012063
615,551,-14508,217.18722610003744
616,552,-14522,213.9380167825644
617,553,-14559,207.9470733853761
618,554,-14603,208.65010901966775
619,555,-14640,208.4614276166706
620,556,-14705,213.15469236971649
621,557,-14783,210.24939480334604
622,558,-14847,205.5254887694144
623,559,-14919,205.18509194320177
624,560,-14978,202.9290476816134
625,561,-15044,204.3247383426767
626,562,-15141,202.1012164231453
627,563,-15213,198.631089252931
628,564,-15286,198.29417538469403
629,565,-15337,195.87573909141443
630,566,-15361,194.651413175494
631,567,-15410,190.50284337603904
632,568,-15435,193.02021337722056
633,569,-15460,191.8856673685563
634,570,-15484,190.75739808941375
635,571,-15510,193.00049226913703
636,572,-15535,191.4761142959414
637,573,-15560,191.5857343990861
638,574,-15584,192.37047527166976
639,575,-15611,192.6236483930915
640,576,-15636,196.9632882286796
641,577,-15662,195.79039289658348
642,578,-15687,193.21020619774924
643,579,-15715,194.3760035369042
644,580,-15741,191.5189594499656
645,581,-15767,189.5231390515472
646,582,-15793,190.411456374954
647,583,-15819,191.7049630706334
648,584,-15847,187.25256339861124
649,585,-15875,191.20739896471937
650,586,-15904,189.51763426245728
651,587,-15930,190.2606131810841
652,588,-15957,191.7237910053392
653,589,-15985,188.54215704394005
654,590,-16015,188.6564989836098
655,591,-16042,188.9556833468375
656,592,-16074,187.78531136917945
657,593,-16100,187.7267726989902
658,594,-16131,188.64072093684447
659,595,-16160,188.59044595252615
660,596,-16189,184.87510819689115
661,597,-16223,189.0114574096496
662,598,-16251,185.64837724764448
663,599,-16282,188.87750852438725
664,600,-16314,188.52153443206024
665,601,-16345,189.03208526365853
666,602,-16374,187.1210722823276
667,603,-16410,188.73157502184156
668,604,-16441,188.2127161368506
669,605,-16472,188.46984987600771
670,606,-16507,187.44688100668245
671,607,-16536,187.0879474951784
672,608,-16569,187.6657005045612
673,609,-16632,188.57060817148655
674,610,-16727,193.90294365325792
675,611,-16797,191.2709926696737
676,612,-16853,192.9746062473733
677,613,-16885,188.43646889385016
678,614,-16916,188.49917580509657
679,615,-17043,192.7099140092297
680,616,-17202,191.0855048576497
681,617,-17332,191.584282023408
682,618,-17492,191.51661846127155
683,619,-17618,188.95303905155183
684,620,-17679,191.41876528996983
685,621,-17841,193.60063929670704
686,622,-17933,196.05515178135056
687,623,-18068,193.72302093582547
688,624,-18263,190.47301770392272
689,625,-18457,189.9902249511881
690,626,-18586,193.92595404672443
691,627,-18716,187.76130879373025
692,628,-18878,192.65750201107116
693,629,-19014,190.87078412905063
694,630,-19117,188.40117180397905
695,631,-19262,190.05178294941015
696,632,-19395,187.24278170075527
